doc_id,title,type,year,rating,original_abstract,processed_text
doc_1,7 Dogs,movie,2026.0,0.0,Interpol agent Khalid Al-Azzazi joins forces with Ghali Abu Dawood from the 7 Dogs crime syndicate to fight drug trafficking.,7 dog interpol agent khalid al azzazi join forc ghali abu dawood 7 dog crime syndic fight drug traffick
doc_2,Karmouz War,movie,2018.0,5.942,"Alexandria, Egypt, 1940. Three young Egyptians come to the aid of a woman being attacked by three British soldiers. One of them is arrested and thrown in jail. When the military surrounds the police station and begins an all-out assault, it's up to one man, Gen. Youssef al-Masri, to defend his prison and protect his people.",karmouz war alexandria egypt 1940 three young egyptian come aid woman attack three british soldier one arrest thrown jail militari surround polic station begin assault one man gen youssef al masri defend prison protect peopl
doc_3,EgyBest,movie,2026.0,0.0,"Two friends dive into the digital underworld chasing quick cash and bigger dreams. Their journey begins with a scam, but soon. The stakes turn deadly. Pulled into a web of love lies, and crime. they risk everything for success, in this high stakes game, one wrong move could change everything.",egybest two friend dive digit underworld chase quick cash bigger dream journey begin scam soon stake turn dead pull web love lie crime risk everyth success high stake game one wrong move could chang everyth
doc_4,Love Story,movie,2019.0,7.5,"Youssef, whose brother is trying to push him to marry, and during that, an accident occurs for (Youssef) who loses his sight, and coincidentally one day he clashes with the girl (Jamila), who cares for him and takes care of him later, and relates to his love, but it seems that they will face a difficult test, when he becomes over each of them To prove his love for the other.",love stori youssef whose brother tri push marri accid occur youssef lose sight coincident one day clash girl jamila care take care later relat love seem face difficult test becom prove love
doc_5,Incident of Dishonor,movie,1971.0,0.0,"One of the beauties of the estate lives with her sister and her brother-in-law. As a man proposes to her and they arrange for their wedding, an unexpected event occurs as a playboy approaches her, causing her to break off her engagement. Can someone be cursed with beauty?",incid dishonor one beauti estat live sister brother law man propos arrang wed unexpect event occur playboy approach caus break engag someon curs beauti
doc_6,Eagles of the Republic,movie,2025.0,6.8,"George Fahmy, Egypt's most adored actor, is pressured to star in a film commissioned by the highest authorities. He reluctantly accepts and finds himself thrown into the inner circle of power. Like moth drawn to flame, he begins an affair with the mysterious wife of the general overseeing the project.",eagl republ georg fahmi egypt ador actor pressur star film commiss highest author reluct accept find thrown inner circl power like moth drawn flame begin affair mysteri wife general overse project
doc_7,The Passage,movie,2019.0,7.0,"A platoon of Commandos’ soldiers, lead by a fearless commander, Nour, and their journey through heroic battles from The Six Days War to the commencement of The Attrition War.",passag platoon commando soldier lead fearless command nour journey heroic battl six day war commenc attrit war
doc_8,Wolves That Do Not Eat Meat,movie,1973.0,5.182,"Wolves That Do Not Eat Meat is an Arabic narrative film from the adventure and suspense films produced in 1973, represented by Izzat Al-Alayli in the role of ""Anwar"", Nahed Sharif in the role of ""Thuraya"" and Mohsen Sarhan in the role of ""Saleh"", and from Kuwait Muhammad Al-Mansour in the role of ""Al-Saffah"" Khaled Al-Saqabi in the role of “The Officer” and Ali Al-Mufidi in the role of “Al-Akhras”, and from Lebanon Silvana Badrakhan in the role of “Linda” and Les Sirkisian or actress Iman as she was known later in the role of “Nihad”. And directed by Samir A. Khouri.  All the movie clips were shot in the State of Kuwait.",wolv eat meat wolv eat meat arab narrat film adventur suspens film produc 1973 repres izzat al alayli role anwar nahe sharif role thuraya mohsen sarhan role saleh kuwait muhammad al mansour role al saffah khale al saqabi role offic ali al mufidi role al akhra lebanon silvana badrakhan role linda les sirkisian actress iman known later role nihad direct samir khouri movi clip shot state kuwait
doc_9,Sons of Rizk 3: Knockout,movie,2024.0,7.143,"Years have passed since the brothers have separated in their different ways of life. But one day, a ghost from the past returns to cast a shadow over the sons of Rizk, forcing them to return to a life of crime and theft once again in order to save themselves, in a fateful operation that is the largest, most dangerous, and most important in the history of the sons of Rizk.",son rizk 3 knockout year pass sinc brother separ differ way life one day ghost past return cast shadow son rizk forc return life crime theft order save fate oper largest danger import histori son rizk
doc_10,Escaping Tel Aviv,movie,2009.0,6.1,"A seemingly ordinary life is shattered when a woman uncovers a hidden truth about her husband, plunging her into a high-stakes international conflict. As loyalties blur and danger escalates, an Egyptian intelligence officer is tasked with a critical mission where failure is not an option.",escap tel aviv seem ordinari life shatter woman uncov hidden truth husband plung high stake intern conflict loyalti blur danger escal egyptian intellig offic task critic mission failur option
doc_11,Me And My Cousin,movie,2024.0,4.3,"The work revolves around a comedic framework about (Hassan) and (Ismail), two cousins, where an old traditional struggle takes place between them to prove the superiority of one over the other through several comedic situations until they discover in the end that the real gain is family and mutual love.",cousin work revolv around comed framework hassan ismail two cousin old tradit struggl take place prove superior one sever comed situat discov end real gain famili mutual love
doc_12,A Break of Happy Moments,movie,2024.0,6.4,"After Durriya pressures Saleh about their crumbling family house, a magical portal suddenly appears and takes them to parallel worlds they never knew existed.",break happi moment durriya pressur saleh crumbl famili hous magic portal sudden appear take parallel world never knew exist
doc_13,Abu Shanab,movie,2016.0,6.2,Esmat Abu Shanab (Yasmin Abdul Aziz) is a female police officer who works in an administrative position and tries in various ways to work on field assignments.,abu shanab esmat abu shanab yasmin abdul aziz femal polic offic work administr posit tri various way work field assign
doc_14,Sorry For Disturbance,movie,2008.0,7.3,"Hassan, a brilliant aviation engineer struggles with loneliness and depression while trying to design his very exceptional project.",sorri disturb hassan brilliant aviat engin struggl loneli depress tri design except project
doc_15,Bittersweet,movie,2010.0,7.5,"An Egyptian-American returns to his homeland after twenty years abroad, filled with nostalgia and high hopes. But as he reconnects with his roots, he finds himself caught between two worlds—and begins to experience the reality of a country he thought he knew.",bittersweet egyptian american return homeland twenti year abroad fill nostalgia high hope reconnect root find caught two world begin experi realiti countri thought knew
doc_16,The Headmaster,movie,2000.0,7.671,"Ashour, Salaah’s father, runs his school with severity and cruelty. after Ashour's death, Salah inherits the job and lets Sayed, his deputy, take charge.  Hussein the teacher makes a great effort to guide Salah to succeed in managing the school and achieve good results, while salah is dealing with his trust issues and his need to prove himself by getting out of his father's shadow.  with the help of Hussien, his girlfriend Wafaa, and his two friends Atef and Lemby .. can he run the school his own way?",headmast ashour salaah father run school sever cruelti ashour death salah inherit job let say deputi take charg hussein teacher make great effort guid salah succeed manag school achiev good result salah deal trust issu need prove get father shadow help hussien girlfriend wafaa two friend atef lembi run school way
doc_17,Freezer's Campaign,movie,2016.0,4.6,"When Egypt's climate changes , turning the country into a frozen state, a group of intelligence officers travel to Italy to get a device that can stop the frost, posing as a movie crew.",freezer campaign egypt climat chang turn countri frozen state group intellig offic travel itali get devic stop frost pose movi crew
doc_18,Diamond Dust,movie,2018.0,7.6,"Taha works as a pharmacist and lives a normal life with his disabled father. When a mysterious murder occurs, Taha's world changes forever. He starts tracking down many secrets that leads him  to unlocks a whole melancholic world of crime!",diamond dust taha work pharmacist live normal life disabl father mysteri murder occur taha world chang forev start track mani secret lead unlock whole melanchol world crime
doc_19,"Love, Imagined",movie,2025.0,1.0,"Youssef, an introverted university professor, tries to live a quiet and secluded life, but the arrival of the student Warda into his world turns everything upside down. while she is trying to mend her relationship with her boyfriend, Noah, Youssef finds himself gradually becoming entangled in their relationship.  As illusions intertwine with reality at the heart of a complicated love triangle, feelings he thought had long faded awaken within him.",love imagin youssef introvert univers professor tri live quiet seclud life arriv student warda world turn everyth upsid tri mend relationship boyfriend noah youssef find gradual becom entangl relationship illus intertwin realiti heart complic love triangl feel thought long fade awaken within
doc_20,Abdu Mouta,movie,2012.0,4.6,"Abdo is a thug working in the drug trade after losing his parents, using force to impose royalties on the people of the neighborhood, while Angham is looking to marry him, and  the dancer Rabyia  has an affair with him, and so is his cousin Alyia.",abdu mouta abdo thug work drug trade lose parent use forc impos royalti peopl neighborhood angham look marri dancer rabyia affair cousin alyia
doc_21,Snakes and Ladders 2: Children's Games,movie,2025.0,4.5,"Ahmed meets Malak, and their relationship quickly evolves from mere admiration to mutual love. Each seeks to impress the other with their personality and actions, hoping their love story lasts forever and withstands all challenges.",snake ladder 2 children game ahm meet malak relationship quick evolv mere admir mutual love seek impress person action hope love stori last forev withstand challeng
doc_22,Cairo Time,movie,2009.0,5.9,"In Cairo on her own as she waits for her husband, Juliette finds herself caught in a whirlwind romance with his friend Tareq, a retired cop. As Tareq escorts Juliette around the city, they find themselves in the middle of a brief affair that catches them both unawares.",cairo time cairo wait husband juliett find caught whirlwind romanc friend tareq retir cop tareq escort juliett around citi find middl brief affair catch unawar
